challenge_id,title,description,points,due,submitUrl
git,Getting started with git,"During this challenge, you will create a repository on GitHub, clone it to your local machine, add files, commit those changes, push them back to GitHub, and then deploy your web site to your student web server. If you complete all the steps, you will have learned the techniques necessary for managing and deploying a web site!",100,6/25/15,https://canvas.uw.edu/courses/973387/assignments/2871852
html-css,Core HTML and CSS concepts,"In this challenge, you'll practice your core HTML and CSS skills by building a web-page for a ficticious restaurant.  You'll also leverage your version control abilities and publish this website on your student server. ",200,6/29/15,https://canvas.uw.edu/courses/973387/assignments/2871858
bootstrap,Mobile first: desinging with Bootstrap,"This challenge expands upon the previous one to enable a mobile friendly experience.  Using the Bootstrap framework, you'll build out a web-page that works well on all devices.",200,7/2/15,https://canvas.uw.edu/courses/973387/assignments/2871869
police-shooting,Mapping police shootings with Leaflet.js,"In this challenge, you'll use Leaflet.js to create an interactive map of crowdsourced police-shooting data.  Not surprisingly, this is a sensitive issue, so please be thoughtful in the way you discuss and complete you work. ",200,7/6/15,https://canvas.uw.edu/courses/973387/assignments/2889154
spotify,Spotify Challenge,"In this group challenge, you will build an angular application that requests data from the Spotify API.  A sample structure will be provided in lecture to demonstrate the application structure, and give you a springboard for thinking creatively about what you can do with the data.",300,7/9/15,https://canvas.uw.edu/courses/973387/assignments/2871879
presentation,Teaching presentation,"In this group challenge, you will find a JavaScript library and teach your fellow students how to use it.  Your interactive presentation will include a short exercise that demonstrates the implementation of the package.",400,7/13/15 - 7/16/15,https://canvas.uw.edu/courses/973387/assignments/2885304
project,Group project,"As a final assessment, your group will take on a self-directed project of developing a robust web application.  This fully functional webpage will build upon course skills to tackle a challenge of your choice.",400,7/22/15,https://canvas.uw.edu/courses/973387/assignments/2885306
