title,description,url
What is a website? Introduction to HTML and Git,"Introduction to the properties and styles of HTML elements.  Interactive excercises for building simple lists and forms.  Includes an introduction to the version control system Git.
",intro
Let's get stylish,"Introduction to the use of Cascading Style Sheets to apply styles to your webpage.  Includes a description of different style properties, the Box Model, and page layout. ",style
Getting Functional: An Introduction to JavaScript,"An introduction to JavaScript functionality for web development.  We'll cover variable types (numeric, string, array, object, function), and explore more complex functionality for arrays",javascript
